"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2026","151.75","151.75","151.75","151.75","","0.53%"
"06/10/2026","150.95","150.00","150.00","149.25","0.05K","0.50%"
"06/09/2026","150.20","151.50","152.00","150.25","0.01K","-0.69%"
"06/08/2026","151.25","151.00","152.25","151.00","0.20K","1.68%"
"06/05/2026","148.75","149.75","149.75","149.65","0.05K","0.81%"
"06/04/2026","147.55","150.00","150.00","147.50","0.04K","0.89%"
"06/03/2026","146.25","144.50","146.75","144.50","0.12K","3.50%"
"06/02/2026","141.30","144.50","144.50","142.25","0.06K","0.71%"
"06/01/2026","140.30","140.00","140.00","139.90","0.06K","6.90%"
"05/29/2026","131.25","131.25","131.25","131.25","","-0.19%"
"05/28/2026","131.50","131.50","131.50","131.50","","-0.19%"
"05/27/2026","131.75","131.75","131.75","131.75","0.00K","-0.64%"
"05/26/2026","132.60","134.00","134.00","134.00","0.00K","0.42%"
"05/25/2026","132.05","132.05","132.05","132.05","","0.00%"
"05/22/2026","132.05","132.05","132.05","132.05","","0.00%"
"05/21/2026","132.05","132.05","132.05","132.05","","-0.30%"
"05/20/2026","132.45","132.00","132.00","132.00","0.01K","0.04%"
"05/19/2026","132.40","134.50","134.50","134.50","0.00K","-0.08%"
"05/18/2026","132.50","135.00","135.00","132.25","0.01K","0.61%"
"05/15/2026","131.70","131.70","131.70","131.70","","1.00%"
"05/14/2026","130.40","131.10","131.10","131.10","0.00K","-0.57%"
"05/13/2026","131.15","131.15","131.15","131.15","","-1.02%"
"05/12/2026","132.50","132.50","132.50","132.50","0.02K","1.26%"
