Date,Price,Open,High,Low,Vol.,Chg. %,
"6/22/26","144.00","144.00","144.00","143.90","0","0.00%",
"6/19/26","144.00","144.00","144.00","144.00","0.02K","0.00%",
"6/18/26","144.00","144.00","144.00","144.00","0.03K","0.14%",
"6/17/26","143.80","144.50","144.50","144.50","0.00K","-0.83%",
"6/16/26","145.00","145.50","145.50","145.50","0.02K","-0.92%",
"6/15/26","146.35","146.35","146.35","146.35","0.01K","-1.71%",
"6/12/26","148.90","149.25","149.25","147.50","0.03K","-1.88%",
"6/11/26","151.75","151.75","151.75","151.75","0","0.53%",
"6/10/26","150.95","150.00","150.00","149.25","0.05K","0.50%",
"6/9/26","150.20","151.50","152.00","150.25","0.01K","-0.69%",
"6/8/26","151.25","151.00","152.25","151.00","0.20K","1.68%",
"6/5/26","148.75","149.75","149.75","149.65","0.05K","0.81%",
"6/4/26","147.55","150.00","150.00","147.50","0.04K","0.89%",
"6/3/26","146.25","144.50","146.75","144.50","0.12K","3.50%",
"6/2/26","141.30","144.50","144.50","142.25","0.06K","0.71%",
"6/1/26","140.30","140.00","140.00","139.90","0.06K","6.90%",
"5/29/26","131.25","131.25","131.25","131.25","0","-0.19%",
"5/28/26","131.50","131.50","131.50","131.50","0","-0.19%",
"5/27/26","131.75","131.75","131.75","131.75","0.00K","-0.64%",
"5/26/26","132.60","134.00","134.00","134.00","0.00K","0.42%",
"5/25/26","132.05","132.05","132.05","132.05","0","0.00%",
"Open : 132.05","Highest : 152.25","Lowest : 131.25","Chg. % : 9.05%",
