"Date","Price","Open","High","Low","Vol.","Change %"
"07/10/2026","128.60","128.50","128.50","128.50","0.01K","-1.04%"
"07/09/2026","129.95","129.25","129.75","129.25","0.02K","0.66%"
"07/08/2026","129.10","128.75","128.75","128.75","0.04K","0.86%"
"07/07/2026","128.00","128.00","128.00","127.50","0.05K","-0.31%"
"07/06/2026","128.40","128.40","128.40","128.40","0.01K","-0.31%"
"07/03/2026","128.80","128.80","128.80","128.80","0.03K","-0.23%"
"07/02/2026","129.10","129.25","129.25","129.25","0.00K","-0.39%"
"07/01/2026","129.60","132.00","132.00","129.75","0.10K","-0.04%"
"06/30/2026","129.65","129.00","129.00","129.00","0.17K","1.53%"
"06/29/2026","127.70","127.50","127.85","127.00","0.09K","-10.95%"
"06/26/2026","143.40","143.40","143.40","143.40","","0.14%"
"06/25/2026","143.20","143.20","143.20","143.20","","-0.24%"
"06/24/2026","143.55","143.55","143.55","143.55","","-0.28%"
"06/23/2026","143.95","143.95","143.95","143.95","","0.03%"
"06/22/2026","143.90","143.90","143.90","143.90","","-0.07%"
"06/19/2026","144.00","144.00","144.00","144.00","0.02K","0.00%"
"06/18/2026","144.00","144.00","144.00","144.00","0.03K","0.14%"
"06/17/2026","143.80","144.50","144.50","144.50","0.00K","-0.83%"
"06/16/2026","145.00","145.50","145.50","145.50","0.02K","-0.92%"
"06/15/2026","146.35","146.35","146.35","146.35","0.01K","-1.71%"
"06/12/2026","148.90","149.25","149.25","147.50","0.03K","-1.88%"
