driver,ticker,lookback,threshold,holding,events,winrate,avg_return,compound,profit_factor,mdd,expectancy,ranking
GOLD,ANTM.JK,10,5.0,5,3,100.0,9.12,29.81,inf,0.0,9.12,1
GOLD,ANTM.JK,10,1.5,1,5,80.0,4.22,22.78,inf,0.0,4.22,2
GOLD,HRTA.JK,1,5.0,10,1,100.0,21.68,21.68,inf,0.0,21.68,3
GOLD,MDKA.JK,10,1.5,1,5,80.0,3.99,21.44,inf,0.0,3.99,4
GOLD,ANTM.JK,10,1.5,2,5,80.0,3.73,19.88,inf,0.0,3.73,5
GOLD,MDKA.JK,3,1.5,1,6,100.0,2.89,18.57,inf,0.0,2.89,6
GOLD,MDKA.JK,3,2.0,1,6,100.0,2.89,18.57,inf,0.0,2.89,7
GOLD,MDKA.JK,1,5.0,10,1,100.0,18.48,18.48,inf,0.0,18.48,8
GOLD,MDKA.JK,10,5.0,5,3,66.67,5.88,17.87,inf,0.0,5.88,9
GOLD,MDKA.JK,10,1.5,2,5,80.0,2.69,13.93,inf,0.0,2.69,10
GOLD,ANTM.JK,10,1.0,2,5,80.0,2.61,13.67,inf,0.0,2.61,11
GOLD,ANTM.JK,10,5.0,3,3,100.0,4.27,13.18,inf,0.0,4.27,12
GOLD,MDKA.JK,10,1.0,2,5,80.0,2.56,13.17,inf,0.0,2.56,13
GOLD,HRTA.JK,1,5.0,5,1,100.0,11.95,11.95,inf,0.0,11.95,14
GOLD,PSAB.JK,1,5.0,10,1,100.0,9.71,9.71,inf,0.0,9.71,15
GOLD,BRMS.JK,1,5.0,5,1,100.0,9.05,9.05,inf,0.0,9.05,16
GOLD,ANTM.JK,10,2.0,1,4,75.0,2.09,8.53,inf,0.0,2.09,17
GOLD,ANTM.JK,10,2.5,1,4,75.0,2.09,8.53,inf,0.0,2.09,18
GOLD,ANTM.JK,10,3.0,1,4,75.0,2.09,8.53,inf,0.0,2.09,19
GOLD,ANTM.JK,10,5.0,1,3,100.0,2.78,8.53,inf,0.0,2.78,20
GOLD,BRMS.JK,1,5.0,10,1,100.0,6.53,6.53,inf,0.0,6.53,21
GOLD,ANTM.JK,1,5.0,10,1,100.0,5.76,5.76,inf,0.0,5.76,22
GOLD,PSAB.JK,1,5.0,5,1,100.0,4.85,4.85,inf,0.0,4.85,23
GOLD,MDKA.JK,1,5.0,5,1,100.0,4.29,4.29,inf,0.0,4.29,24
GOLD,BRMS.JK,1,3.0,3,3,66.67,1.34,4.04,inf,0.0,1.34,25
GOLD,ANTM.JK,1,3.0,2,3,100.0,1.26,3.83,inf,0.0,1.26,26
GOLD,BRMS.JK,1,5.0,3,1,100.0,1.51,1.51,inf,0.0,1.51,27
GOLD,MDKA.JK,1,5.0,1,1,100.0,0.99,0.99,inf,0.0,0.99,28
GOLD,MDKA.JK,1,5.0,3,1,100.0,0.33,0.33,inf,0.0,0.33,29
GOLD,HRTA.JK,1,5.0,2,1,0.0,0.0,0.0,inf,0.0,0.0,30
GOLD,ANTM.JK,1,5.0,5,1,0.0,0.0,0.0,inf,0.0,0.0,31
GOLD,MDKA.JK,1,0.5,1,7,71.43,4.01,28.92,42.67,0.36,4.01,32
GOLD,PSAB.JK,10,1.5,1,5,60.0,3.19,16.75,21.88,0.76,3.19,33
GOLD,MDKA.JK,1,0.5,3,7,57.14,5.27,40.07,12.95,3.09,5.27,34
GOLD,HRTA.JK,1,0.5,1,7,71.43,2.57,19.05,11.3,1.73,2.57,35
GOLD,ANTM.JK,10,0.5,3,5,80.0,3.03,15.78,8.72,1.96,3.03,36
GOLD,ANTM.JK,1,3.0,3,3,66.67,3.97,11.93,8.46,1.6,3.97,37
GOLD,BRMS.JK,10,1.5,1,5,60.0,5.01,26.26,8.3,3.44,5.01,38
GOLD,ANTM.JK,10,5.0,2,3,66.67,1.94,5.88,8.26,0.8,1.94,39
GOLD,BRMS.JK,1,3.0,2,3,66.67,2.69,8.09,7.81,1.19,2.69,40
GOLD,MDKA.JK,10,1.5,3,5,80.0,3.4,17.43,7.64,2.56,3.4,41
GOLD,MDKA.JK,3,2.5,1,6,83.33,2.28,14.25,6.71,2.4,2.28,42
GOLD,MDKA.JK,3,3.0,1,6,83.33,2.28,14.25,6.71,2.4,2.28,43
GOLD,ANTM.JK,10,0.5,2,5,80.0,2.21,11.44,6.64,1.96,2.21,44
GOLD,MDKA.JK,1,0.5,5,7,85.71,6.17,47.61,6.33,8.1,6.17,45
GOLD,ANTM.JK,3,5.0,1,3,66.67,3.13,9.21,5.97,1.89,3.13,46
GOLD,HRTA.JK,1,1.5,1,6,66.67,1.44,8.83,5.93,1.73,1.44,47
GOLD,MDKA.JK,1,1.5,1,6,66.67,0.55,3.33,5.9,0.36,0.55,48
GOLD,MDKA.JK,10,1.0,1,5,60.0,2.55,13.07,5.6,2.77,2.55,49
GOLD,MDKA.JK,10,1.0,3,5,60.0,2.9,14.52,5.56,3.16,2.9,50
GOLD,HRTA.JK,10,1.5,1,5,60.0,2.25,11.48,5.2,2.67,2.25,51
GOLD,MDKA.JK,1,1.5,3,6,50.0,2.02,12.26,4.92,3.09,2.02,52
GOLD,MDKA.JK,10,2.0,1,4,50.0,2.07,8.29,4.91,2.12,2.07,53
GOLD,MDKA.JK,10,2.5,1,4,50.0,2.07,8.29,4.91,2.12,2.07,54
GOLD,MDKA.JK,10,3.0,1,4,50.0,2.07,8.29,4.91,2.12,2.07,55
GOLD,MDKA.JK,10,5.0,1,3,66.67,2.76,8.29,4.91,2.12,2.76,56
GOLD,BRMS.JK,10,0.5,3,5,80.0,3.56,18.26,4.88,4.58,3.56,57
GOLD,MDKA.JK,3,0.5,10,7,71.43,4.41,30.9,4.79,8.11,4.41,58
GOLD,BRMS.JK,10,0.5,1,5,60.0,2.51,12.39,4.66,3.44,2.51,59
GOLD,BRMS.JK,10,0.5,2,5,80.0,4.44,22.78,4.64,6.11,4.44,60
GOLD,BRMS.JK,10,1.0,2,5,60.0,4.18,21.18,4.42,6.11,4.18,61
GOLD,ANTM.JK,1,0.5,1,7,71.43,2.11,14.97,4.39,4.35,2.11,62
GOLD,PSAB.JK,1,1.0,1,7,71.43,2.33,16.41,4.38,4.0,2.33,63
GOLD,BRMS.JK,10,1.0,1,5,40.0,2.25,10.93,4.28,3.44,2.25,64
GOLD,MDKA.JK,3,1.5,5,6,50.0,3.08,18.46,4.27,3.47,3.08,65
GOLD,MDKA.JK,3,2.0,5,6,50.0,3.08,18.46,4.27,3.47,3.08,66
GOLD,MDKA.JK,10,5.0,2,3,66.67,2.54,7.47,4.15,2.42,2.54,67
GOLD,BRMS.JK,10,1.5,2,5,60.0,3.65,18.37,3.99,6.11,3.65,68
GOLD,MDKA.JK,1,0.5,2,7,57.14,4.54,31.44,3.96,6.38,4.54,69
GOLD,MDKA.JK,3,5.0,1,3,66.67,2.3,6.9,3.89,2.4,2.3,70
GOLD,ANTM.JK,1,1.0,1,7,71.43,1.74,12.14,3.8,4.35,1.74,71
GOLD,MDKA.JK,10,5.0,3,3,66.67,3.98,11.55,3.63,4.55,3.98,72
GOLD,MDKA.JK,1,3.0,3,3,66.67,2.69,8.01,3.62,3.09,2.69,73
GOLD,ANTM.JK,1,1.5,1,6,66.67,1.79,10.51,3.46,4.35,1.79,74
GOLD,MDKA.JK,1,1.5,5,6,83.33,3.07,18.3,3.27,8.1,3.07,75
GOLD,MDKA.JK,3,0.5,3,8,62.5,4.05,33.5,3.24,7.4,4.05,76
GOLD,MDKA.JK,10,0.5,3,5,60.0,2.44,11.8,3.22,5.47,2.44,77
GOLD,MDKA.JK,3,1.5,3,6,50.0,3.89,22.77,3.04,9.42,3.89,78
GOLD,MDKA.JK,3,2.0,3,6,50.0,3.89,22.77,3.04,9.42,3.89,79
GOLD,HRTA.JK,1,0.5,5,7,57.14,4.12,28.38,2.76,10.37,4.12,80
GOLD,ANTM.JK,10,1.0,1,5,60.0,1.68,8.3,2.7,4.93,1.68,81
GOLD,MDKA.JK,1,1.0,10,6,50.0,3.18,17.74,2.62,9.22,3.18,82
GOLD,MDKA.JK,10,0.5,2,5,80.0,1.58,7.65,2.62,4.88,1.58,83
GOLD,ANTM.JK,1,3.0,1,3,66.67,0.61,1.81,2.56,1.17,0.61,84
GOLD,HRTA.JK,10,1.0,1,5,40.0,0.92,4.54,2.49,2.67,0.92,85
GOLD,MDKA.JK,3,2.5,5,6,33.33,2.2,12.39,2.48,5.38,2.2,86
GOLD,MDKA.JK,3,3.0,5,6,33.33,2.2,12.39,2.48,5.38,2.2,87
GOLD,MDKA.JK,3,1.5,2,6,83.33,3.24,18.55,2.4,13.88,3.24,88
GOLD,MDKA.JK,3,2.0,2,6,83.33,3.24,18.55,2.4,13.88,3.24,89
GOLD,HRTA.JK,3,0.5,3,8,62.5,2.88,22.66,2.38,9.28,2.88,90
GOLD,PSAB.JK,10,1.0,2,5,60.0,1.26,6.14,2.37,4.58,1.26,91
GOLD,PSAB.JK,10,1.0,1,5,40.0,1.24,6.0,2.35,3.81,1.24,92
GOLD,MDKA.JK,1,1.0,1,7,71.43,0.48,3.35,2.32,2.23,0.48,93
GOLD,PSAB.JK,1,0.5,1,7,57.14,1.65,10.91,2.27,4.27,1.65,94
GOLD,HRTA.JK,3,1.5,3,6,50.0,3.23,18.3,2.26,8.05,3.23,95
GOLD,HRTA.JK,3,2.0,3,6,50.0,3.23,18.3,2.26,8.05,3.23,96
GOLD,ANTM.JK,3,1.5,1,6,50.0,0.58,3.41,2.26,2.77,0.58,97
GOLD,ANTM.JK,3,2.0,1,6,50.0,0.58,3.41,2.26,2.77,0.58,98
GOLD,HRTA.JK,10,0.5,1,5,40.0,0.85,4.15,2.22,2.67,0.85,99
GOLD,ANTM.JK,1,0.5,2,7,85.71,1.08,7.45,2.21,6.29,1.08,100
GOLD,HRTA.JK,1,0.5,2,7,42.86,1.89,12.6,2.2,6.38,1.89,101
GOLD,ANTM.JK,10,1.5,3,5,80.0,2.31,10.96,2.19,9.71,2.31,102
GOLD,PSAB.JK,10,1.5,2,5,60.0,1.08,5.19,2.17,4.58,1.08,103
GOLD,HRTA.JK,3,0.5,2,8,62.5,3.66,25.91,2.16,18.45,3.66,104
GOLD,ANTM.JK,10,1.5,5,5,60.0,3.65,16.87,2.13,11.43,3.65,105
GOLD,ANTM.JK,10,5.0,10,3,33.33,1.67,4.58,2.09,4.61,1.67,106
GOLD,HRTA.JK,1,1.5,5,6,50.0,2.92,15.37,2.07,10.37,2.92,107
GOLD,HRTA.JK,5,0.5,1,7,42.86,2.22,14.22,2.07,6.86,2.22,108
GOLD,HRTA.JK,5,1.0,1,7,42.86,2.22,14.22,2.07,6.86,2.22,109
