driver,ticker,lookback,threshold,holding,event_date,driver_change_pct,buy_date,sell_date,buy_price,sell_price,capital,shares,buy_mode,return_pct,profit_rp,ending_value
GOLD,HRTA.JK,1,0.5,1,2026-01-05,2.84,2026-01-06,2026-01-07,2250.0,2220.0,1000000,444.44,NEXT_DAY,-1.33,-13333.0,986667.0
GOLD,HRTA.JK,1,0.5,1,2026-01-26,2.08,2026-01-27,2026-01-28,2410.0,2400.0,1000000,414.94,NEXT_DAY,-0.41,-4149.0,995851.0
GOLD,HRTA.JK,1,0.5,1,2026-02-18,2.12,2026-02-19,2026-02-20,2700.0,2750.0,1000000,370.37,NEXT_DAY,1.85,18519.0,1018519.0
GOLD,HRTA.JK,1,0.5,1,2026-03-25,3.42,2026-03-26,2026-03-27,2350.0,2390.0,1000000,425.53,NEXT_DAY,1.7,17021.0,1017021.0
GOLD,HRTA.JK,1,0.5,1,2026-04-17,1.51,2026-04-20,2026-04-21,2880.0,2970.0,1000000,347.22,NEXT_DAY,3.12,31250.0,1031250.0
GOLD,HRTA.JK,1,0.5,1,2026-05-20,0.55,2026-05-21,2026-05-22,2130.0,2330.0,1000000,469.48,NEXT_DAY,9.39,93897.0,1093897.0
GOLD,HRTA.JK,1,0.5,1,2026-06-12,3.05,2026-06-15,2026-06-17,2170.0,2250.0,1000000,460.83,NEXT_DAY,3.69,36866.0,1036866.0
GOLD,MDKA.JK,1,0.5,1,2026-01-05,2.84,2026-01-06,2026-01-07,2700.0,2720.0,1000000,370.37,NEXT_DAY,0.74,7407.0,1007407.0
GOLD,MDKA.JK,1,0.5,1,2026-01-26,2.08,2026-01-27,2026-01-28,3210.0,3240.0,1000000,311.53,NEXT_DAY,0.93,9346.0,1009346.0
GOLD,MDKA.JK,1,0.5,1,2026-02-18,2.12,2026-02-19,2026-02-20,3530.0,3590.0,1000000,283.29,NEXT_DAY,1.7,16997.0,1016997.0
GOLD,MDKA.JK,1,0.5,1,2026-03-25,3.42,2026-03-26,2026-03-27,3240.0,3230.0,1000000,308.64,NEXT_DAY,-0.31,-3086.0,996914.0
GOLD,MDKA.JK,1,0.5,1,2026-04-17,1.51,2026-04-20,2026-04-21,3350.0,3370.0,1000000,298.51,NEXT_DAY,0.6,5970.0,1005970.0
GOLD,MDKA.JK,1,0.5,1,2026-05-20,0.55,2026-05-21,2026-05-22,2180.0,2720.0,1000000,458.72,NEXT_DAY,24.77,247706.0,1247706.0
GOLD,MDKA.JK,1,0.5,1,2026-06-12,3.05,2026-06-15,2026-06-17,2740.0,2730.0,1000000,364.96,NEXT_DAY,-0.36,-3650.0,996350.0
GOLD,ANTM.JK,1,0.5,1,2026-01-05,2.84,2026-01-06,2026-01-07,3450.0,3850.0,1000000,289.86,NEXT_DAY,11.59,115942.0,1115942.0
GOLD,ANTM.JK,1,0.5,1,2026-01-26,2.08,2026-01-27,2026-01-28,4610.0,4420.0,1000000,216.92,NEXT_DAY,-4.12,-41215.0,958785.0
GOLD,ANTM.JK,1,0.5,1,2026-02-18,2.12,2026-02-19,2026-02-20,4230.0,4220.0,1000000,236.41,NEXT_DAY,-0.24,-2364.0,997636.0
GOLD,ANTM.JK,1,0.5,1,2026-03-25,3.42,2026-03-26,2026-03-27,3430.0,3500.0,1000000,291.55,NEXT_DAY,2.04,20408.0,1020408.0
GOLD,ANTM.JK,1,0.5,1,2026-04-17,1.51,2026-04-20,2026-04-21,4010.0,4030.0,1000000,249.38,NEXT_DAY,0.5,4988.0,1004988.0
GOLD,ANTM.JK,1,0.5,1,2026-05-20,0.55,2026-05-21,2026-05-22,2970.0,3090.0,1000000,336.7,NEXT_DAY,4.04,40404.0,1040404.0
GOLD,ANTM.JK,1,0.5,1,2026-06-12,3.05,2026-06-15,2026-06-17,3130.0,3160.0,1000000,319.49,NEXT_DAY,0.96,9585.0,1009585.0
GOLD,BRMS.JK,1,0.5,1,2026-01-05,2.84,2026-01-06,2026-01-07,1285.0,1230.0,1000000,778.21,NEXT_DAY,-4.28,-42802.0,957198.0
