driver,driver_symbol,ticker,rule,signal_date,event_date,driver_close,driver_return_pct,entry_date,buy_date,exit_date,sell_date,entry_price,buy_price,exit_price,sell_price,return_pct,return_decimal,lookback_days,threshold_pct,hold_days,cooldown_days
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2005-11-17,2005-11-17,486.2000122070313,5.672681103517219,2005-11-18,2005-11-18,2005-12-01,2005-12-01,407.3887634277344,407.3887634277344,487.18658447265625,487.18658447265625,19.58763427187087,0.19587634271870868,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2006-01-03,2006-01-03,530.7000122070312,5.423126468325035,2006-01-04,2006-01-04,2006-01-17,2006-01-17,621.5828857421875,621.5828857421875,760.1790771484375,760.1790771484375,22.29729849153781,0.2229729849153781,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2006-03-02,2006-03-02,568.2000122070312,5.280711386952364,2006-03-03,2006-03-03,2006-03-16,2006-03-16,739.1796264648438,739.1796264648438,730.7798461914062,730.7798461914062,-1.1363652314945183,-0.011363652314945183,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2006-04-03,2006-04-03,589.4000244140625,6.159944426348152,2006-04-04,2006-04-04,2006-04-17,2006-04-17,755.9791870117188,755.9791870117188,835.7769775390625,835.7769775390625,10.555553895970782,0.10555553895970782,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2006-05-03,2006-05-03,665.9000244140625,5.263997804818321,2006-05-04,2006-05-04,2006-05-17,2006-05-17,957.5736083984375,957.5736083984375,881.9757080078125,881.9757080078125,-7.89473516475293,-0.0789473516475293,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2006-06-30,2006-06-30,613.5,6.1418685121107375,2006-07-03,2006-07-03,2006-07-14,2006-07-14,789.5782470703125,789.5782470703125,764.37890625,764.37890625,-3.191493802395562,-0.03191493802395562,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2006-08-07,2006-08-07,647.7999877929688,5.728737536580497,2006-08-08,2006-08-08,2006-08-21,2006-08-21,873.575927734375,873.575927734375,898.7752075195312,898.7752075195312,2.884612428654121,0.028846124286541208,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2006-11-03,2006-11-03,626.9000244140625,5.7166988893865955,2006-11-06,2006-11-06,2006-11-17,2006-11-17,1184.3673095703125,1184.3673095703125,1243.165771484375,1243.165771484375,4.964546170680317,0.04964546170680317,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2007-01-23,2007-01-23,645.2000122070312,6.205763326260283,2007-01-24,2007-01-24,2007-02-06,2007-02-06,1352.3626708984375,1352.3626708984375,1285.16455078125,1285.16455078125,-4.968942249237374,-0.049689422492373736,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2007-09-06,2007-09-06,695.5999755859375,5.537854855411228,2007-09-07,2007-09-07,2007-09-20,2007-09-20,1994.945068359375,1994.945068359375,2267.9375,2267.9375,13.684207949902682,0.13684207949902683,10,5.0,10,20
GOLD,GOLD,ANTM.JK,GOLD >= +5% in 10D | Hold 10D | Cooldown 20D,2007-11-02,2007-11-02,805.7000122070312,5.458116781025035,2007-11-05,2007-11-05,2007-11-16,2007-11-16,3065.91552734375,3065.91552734375,3653.8994140625,3653.8994140625,19.178085027938387,0.19178085027938385,10,5.0,10,20
