driver,ticker,year,trades,total_simple_return_pct,avg_return_pct,best_trade_pct,worst_trade_pct,wins,losses,win_rate
GOLD,ANTM.JK,2005,1,19.59,19.59,19.59,19.59,1,0,100.0
GOLD,ANTM.JK,2006,7,28.48,4.07,22.3,-7.89,4,3,57.14
GOLD,ANTM.JK,2007,4,15.04,3.76,19.18,-12.85,2,2,50.0
GOLD,ANTM.JK,2008,8,-30.11,-3.76,9.43,-35.48,2,6,25.0
GOLD,ANTM.JK,2009,6,2.88,0.48,10.75,-9.32,2,4,33.33
GOLD,ANTM.JK,2010,5,6.71,1.34,3.61,0.0,2,3,40.0
GOLD,ANTM.JK,2011,4,0.0,0.0,0.0,0.0,0,4,0.0
GOLD,ANTM.JK,2012,2,-57.48,-28.74,0.0,-57.48,0,2,0.0
GOLD,ANTM.JK,2013,4,-3.23,-0.81,5.38,-8.92,2,2,50.0
GOLD,ANTM.JK,2014,2,3.16,1.58,2.68,0.48,2,0,100.0
GOLD,ANTM.JK,2015,3,-8.27,-2.76,1.42,-7.12,1,2,33.33
GOLD,ANTM.JK,2016,3,4.38,1.46,7.89,-10.81,2,1,66.67
GOLD,ANTM.JK,2017,1,-6.94,-6.94,-6.94,-6.94,0,1,0.0
GOLD,ANTM.JK,2019,2,15.94,7.97,11.03,4.9,2,0,100.0
GOLD,ANTM.JK,2020,4,21.6,5.4,23.84,-10.95,2,2,50.0
GOLD,ANTM.JK,2021,2,-3.75,-1.88,-1.18,-2.58,0,2,0.0
GOLD,ANTM.JK,2022,2,27.85,13.93,34.93,-7.08,1,1,50.0
GOLD,ANTM.JK,2023,4,7.14,1.79,14.6,-7.84,2,2,50.0
GOLD,ANTM.JK,2024,5,6.12,1.22,13.7,-6.8,2,3,40.0
GOLD,ANTM.JK,2025,8,52.51,6.56,17.74,-15.41,6,2,75.0
GOLD,ANTM.JK,2026,3,-31.66,-10.55,7.75,-22.06,1,2,33.33
GOLD,BRMS.JK,2011,4,8.15,2.04,11.11,-8.57,2,2,50.0
GOLD,BRMS.JK,2012,2,-11.72,-5.86,-3.39,-8.33,0,2,0.0
GOLD,BRMS.JK,2013,4,7.08,1.77,27.62,-22.03,2,2,50.0
GOLD,BRMS.JK,2014,2,16.73,8.37,14.53,2.2,2,0,100.0
GOLD,BRMS.JK,2015,3,0.75,0.25,0.75,0.0,1,2,33.33
GOLD,BRMS.JK,2016,3,0.0,0.0,0.0,0.0,0,3,0.0
GOLD,BRMS.JK,2017,1,34.67,34.67,34.67,34.67,1,0,100.0
GOLD,BRMS.JK,2019,2,0.0,0.0,0.0,0.0,0,2,0.0
GOLD,BRMS.JK,2020,4,0.0,0.0,0.0,0.0,0,4,0.0
GOLD,BRMS.JK,2021,2,-5.15,-2.58,3.67,-8.82,1,1,50.0
GOLD,BRMS.JK,2022,2,6.0,3.0,8.14,-2.14,1,1,50.0
GOLD,BRMS.JK,2023,4,4.09,1.02,10.39,-3.21,1,3,25.0
GOLD,BRMS.JK,2024,5,33.58,6.72,36.73,-5.56,2,3,40.0
GOLD,BRMS.JK,2025,8,29.2,3.65,14.84,-26.42,6,2,75.0
GOLD,BRMS.JK,2026,3,-43.91,-14.64,4.05,-26.17,1,2,33.33
GOLD,EMAS.JK,2025,3,-17.37,-5.79,-3.6,-8.19,0,3,0.0
GOLD,EMAS.JK,2026,3,-8.43,-2.81,14.02,-11.49,1,2,33.33
GOLD,HRTA.JK,2019,2,-5.0,-2.5,0.81,-5.81,1,1,50.0
GOLD,HRTA.JK,2020,4,20.2,5.05,9.65,1.56,4,0,100.0
GOLD,HRTA.JK,2021,2,9.43,4.71,18.59,-9.17,1,1,50.0
GOLD,HRTA.JK,2022,2,0.88,0.44,1.85,-0.97,1,1,50.0
GOLD,HRTA.JK,2023,4,16.21,4.05,16.45,-1.85,3,1,75.0
GOLD,HRTA.JK,2024,5,24.66,4.93,17.77,-3.02,3,2,60.0
GOLD,HRTA.JK,2025,8,101.15,12.64,49.74,-7.18,6,2,75.0
GOLD,HRTA.JK,2026,3,-15.2,-5.07,15.56,-23.38,1,2,33.33
GOLD,MDKA.JK,2015,2,-2.44,-1.22,2.56,-5.0,1,1,50.0
GOLD,MDKA.JK,2016,3,8.35,2.78,5.79,0.0,2,1,66.67
GOLD,MDKA.JK,2017,1,-3.02,-3.02,-3.02,-3.02,0,1,0.0
GOLD,MDKA.JK,2019,2,15.81,7.91,10.91,4.9,2,0,100.0
GOLD,MDKA.JK,2020,4,24.68,6.17,21.74,-4.78,3,1,75.0
GOLD,MDKA.JK,2021,2,10.96,5.48,7.54,3.42,2,0,100.0
GOLD,MDKA.JK,2022,2,12.8,6.4,13.25,-0.45,1,1,50.0
GOLD,MDKA.JK,2023,4,-15.34,-3.83,3.25,-10.44,2,2,50.0
GOLD,MDKA.JK,2024,5,13.18,2.64,17.03,-5.97,4,1,80.0
GOLD,MDKA.JK,2025,8,38.23,4.78,21.08,-15.28,5,3,62.5
GOLD,MDKA.JK,2026,3,-34.31,-11.44,2.12,-19.04,1,2,33.33
