Date,Price,Open,High,Low,Vol.,Change %,Chg. %,Unnamed: 7
01/03/2012,111.3,111.3,111.3,111.3,,-0.85%,,
01/04/2012,112.25,112.25,112.25,112.25,,0.85%,,
01/05/2012,112.35,112.35,112.35,112.35,0.01K,0.09%,,
01/06/2012,113.5,113.5,113.5,113.5,0.05K,1.02%,,
01/09/2012,112.95,112.95,112.95,112.95,0.01K,-0.48%,,
01/10/2012,113.0,113.0,113.0,113.0,0.02K,0.04%,,
01/11/2012,113.85,113.85,113.85,113.85,,0.75%,,
01/12/2012,113.7,113.7,113.7,113.7,,-0.13%,,
01/13/2012,113.65,113.65,113.65,113.65,,-0.04%,,
01/16/2012,113.15,113.15,113.15,113.15,,-0.44%,,
01/17/2012,114.2,114.2,114.2,114.2,,0.93%,,
01/18/2012,115.25,115.25,115.25,115.25,,0.92%,,
01/19/2012,115.15,115.15,115.15,115.15,0.02K,-0.09%,,
01/20/2012,116.5,116.5,116.5,116.5,0.01K,1.17%,,
01/23/2012,116.65,116.65,116.65,116.65,,0.13%,,
01/24/2012,117.5,117.5,117.5,117.5,0.01K,0.73%,,
01/25/2012,117.5,117.5,117.5,117.5,,0.00%,,
01/26/2012,117.45,117.45,117.45,117.45,,-0.04%,,
01/27/2012,118.1,118.1,118.1,118.1,,0.55%,,
01/30/2012,118.85,118.85,118.85,118.85,0.01K,0.64%,,
01/31/2012,117.45,117.45,117.45,117.45,0.01K,-1.18%,,
02/01/2012,117.15,117.15,117.15,117.15,0.03K,-0.26%,,
02/02/2012,117.65,117.65,117.65,117.65,0.01K,0.43%,,
02/03/2012,118.25,118.25,118.25,118.25,0.03K,0.51%,,
02/06/2012,118.05,118.05,118.05,118.05,0.01K,-0.17%,,
02/07/2012,118.2,118.2,118.2,118.2,0.01K,0.13%,,
02/08/2012,118.1,118.1,118.1,118.1,0.07K,-0.08%,,
02/09/2012,118.0,118.0,118.0,118.0,0.02K,-0.08%,,
02/10/2012,117.75,117.75,117.75,117.75,0.02K,-0.21%,,
02/13/2012,117.85,117.85,117.85,117.85,0.01K,0.08%,,
02/14/2012,117.95,117.95,117.95,117.95,0.01K,0.08%,,
02/15/2012,118.05,118.05,118.05,118.05,,0.08%,,
02/16/2012,118.05,118.05,118.05,118.05,0.01K,0.00%,,
02/17/2012,118.15,118.15,118.15,118.15,0.01K,0.08%,,
02/20/2012,118.05,118.05,118.05,118.05,,-0.08%,,
02/21/2012,117.85,117.85,117.85,117.85,,-0.17%,,
02/22/2012,118.1,118.1,118.1,118.1,,0.21%,,
02/23/2012,118.0,118.0,118.0,118.0,,-0.08%,,
02/24/2012,118.0,118.0,118.0,118.0,,0.00%,,
02/27/2012,114.5,114.5,114.5,114.5,0.01K,-2.97%,,
02/28/2012,113.5,113.5,113.5,113.5,0.02K,-0.87%,,
02/29/2012,112.1,112.1,112.1,112.1,,-1.23%,,
03/01/2012,111.25,111.25,111.25,111.25,0.01K,-0.76%,,
03/02/2012,110.75,110.75,110.75,110.75,,-0.45%,,
03/05/2012,110.05,110.05,110.05,110.05,0.03K,-0.63%,,
03/06/2012,109.35,109.35,109.35,109.35,0.01K,-0.64%,,
03/07/2012,109.35,109.35,109.35,109.35,0.03K,0.00%,,
03/08/2012,108.6,108.6,108.6,108.6,0.05K,-0.69%,,
03/09/2012,107.65,107.65,107.65,107.65,0.01K,-0.87%,,
03/12/2012,107.1,107.1,107.1,107.1,,-0.51%,,
03/13/2012,106.8,106.8,106.8,106.8,0.03K,-0.28%,,
03/14/2012,107.2,107.2,107.2,107.2,0.01K,0.37%,,
03/15/2012,107.0,107.0,107.0,107.0,0.01K,-0.19%,,
03/16/2012,107.15,107.15,107.15,107.15,,0.14%,,
03/19/2012,107.25,107.25,107.25,107.25,0.01K,0.09%,,
03/20/2012,106.9,106.9,106.9,106.9,0.02K,-0.33%,,
03/21/2012,107.25,107.25,107.25,107.25,0.02K,0.33%,,
03/22/2012,107.3,107.3,107.3,107.3,,0.05%,,
03/23/2012,107.15,107.15,107.15,107.15,0.01K,-0.14%,,
03/26/2012,107.0,107.0,107.0,107.0,,-0.14%,,
03/27/2012,107.0,107.0,107.0,107.0,,0.00%,,
03/28/2012,107.2,107.2,107.2,107.2,,0.19%,,
03/29/2012,107.0,107.0,107.0,107.0,,-0.19%,,
03/30/2012,107.0,107.0,107.0,107.0,,0.00%,,
04/02/2012,109.45,109.45,109.45,109.45,0.02K,2.29%,,
04/03/2012,108.45,108.45,108.45,108.45,0.01K,-0.91%,,
04/04/2012,106.95,106.95,106.95,106.95,0.01K,-1.38%,,
04/05/2012,106.75,106.75,106.75,106.75,0.10K,-0.19%,,
04/10/2012,106.4,106.4,106.4,106.4,0.01K,-0.33%,,
04/11/2012,105.4,105.4,105.4,105.4,0.01K,-0.94%,,
04/12/2012,105.45,105.45,105.45,105.45,,0.05%,,
04/13/2012,105.05,105.05,105.05,105.05,0.02K,-0.38%,,
04/16/2012,103.65,103.65,103.65,103.65,0.02K,-1.33%,,
04/17/2012,102.85,102.85,102.85,102.85,0.03K,-0.77%,,
04/18/2012,103.55,103.55,103.55,103.55,0.01K,0.68%,,
04/19/2012,103.05,103.05,103.05,103.05,,-0.48%,,
04/20/2012,103.2,103.2,103.2,103.2,,0.15%,,
04/23/2012,102.7,102.7,102.7,102.7,,-0.48%,,
04/24/2012,103.25,103.25,103.25,103.25,,0.54%,,
04/25/2012,103.05,103.05,103.05,103.05,0.04K,-0.19%,,
04/26/2012,103.05,103.05,103.05,103.05,,0.00%,,
04/27/2012,102.95,102.95,102.95,102.95,,-0.10%,,
04/30/2012,100.75,100.75,100.75,100.75,0.03K,-2.14%,,
05/01/2012,100.95,100.95,100.95,100.95,0.01K,0.20%,,
05/02/2012,99.75,99.75,99.75,99.75,0.03K,-1.19%,,
05/03/2012,99.9,99.9,99.9,99.9,,0.15%,,
05/04/2012,99.65,99.65,99.65,99.65,0.04K,-0.25%,,
05/08/2012,99.6,99.6,99.6,99.6,0.01K,-0.05%,,
05/09/2012,99.75,99.75,99.75,99.75,,0.15%,,
05/10/2012,99.6,99.6,99.6,99.6,,-0.15%,,
05/11/2012,99.65,99.65,99.65,99.65,0.01K,0.05%,,
05/14/2012,99.35,99.35,99.35,99.35,,-0.30%,,
05/15/2012,99.0,99.0,99.0,99.0,,-0.35%,,
05/16/2012,98.75,98.75,98.75,98.75,,-0.25%,,
05/17/2012,99.05,99.05,99.05,99.05,0.02K,0.30%,,
05/18/2012,98.65,98.65,98.65,98.65,0.01K,-0.40%,,
05/21/2012,98.2,98.2,98.2,98.2,,-0.46%,,
05/22/2012,97.85,97.85,97.85,97.85,,-0.36%,,
05/23/2012,96.95,96.95,96.95,96.95,,-0.92%,,
05/24/2012,97.25,97.25,97.25,97.25,0.02K,0.31%,,
05/25/2012,98.5,98.5,98.5,98.5,,1.29%,,
05/28/2012,91.3,91.3,91.3,91.3,0.02K,-7.31%,,
05/29/2012,92.25,92.25,92.25,92.25,0.01K,1.04%,,
05/30/2012,91.65,91.65,91.65,91.65,0.02K,-0.65%,,
05/31/2012,91.45,91.45,91.45,91.45,0.01K,-0.22%,,
06/01/2012,91.25,91.25,91.25,91.25,0.01K,-0.22%,,
06/06/2012,90.25,90.25,90.25,90.25,0.01K,-1.10%,,
06/07/2012,89.4,89.4,89.4,89.4,0.01K,-0.94%,,
06/08/2012,88.5,88.5,88.5,88.5,0.01K,-1.01%,,
06/11/2012,88.25,88.25,88.25,88.25,0.07K,-0.28%,,
06/12/2012,88.3,88.3,88.3,88.3,,0.06%,,
06/13/2012,88.65,88.65,88.65,88.65,,0.40%,,
06/14/2012,87.45,87.45,87.45,87.45,,-1.35%,,
06/15/2012,87.85,87.85,87.85,87.85,0.01K,0.46%,,
06/18/2012,87.2,87.2,87.2,87.2,,-0.74%,,
06/19/2012,87.6,87.6,87.6,87.6,,0.46%,,
06/20/2012,87.65,87.65,87.65,87.65,0.01K,0.06%,,
06/21/2012,87.75,87.75,87.75,87.75,,0.11%,,
06/22/2012,88.15,88.15,88.15,88.15,0.01K,0.46%,,
06/25/2012,88.1,88.1,88.1,88.1,,-0.06%,,
06/26/2012,88.1,88.1,88.1,88.1,0.01K,0.00%,,
06/27/2012,88.4,88.4,88.4,88.4,,0.34%,,
06/28/2012,88.4,88.4,88.4,88.4,,0.00%,,
06/29/2012,88.4,88.4,88.4,88.4,0.01K,0.00%,,
07/02/2012,89.9,89.9,89.9,89.9,0.01K,1.70%,,
07/03/2012,90.15,90.15,90.15,90.15,0.01K,0.28%,,
07/04/2012,90.15,90.15,90.15,90.15,0.02K,0.00%,,
07/05/2012,89.0,89.0,89.0,89.0,0.01K,-1.28%,,
07/06/2012,88.9,88.9,88.9,88.9,0.01K,-0.11%,,
07/09/2012,88.6,88.6,88.6,88.6,0.01K,-0.34%,,
07/10/2012,87.9,87.9,87.9,87.9,0.01K,-0.79%,,
07/11/2012,87.3,87.3,87.3,87.3,0.02K,-0.68%,,
07/12/2012,87.15,87.15,87.15,87.15,0.01K,-0.17%,,
07/13/2012,87.55,87.55,87.55,87.55,,0.46%,,
07/16/2012,87.75,87.75,87.75,87.75,0.02K,0.23%,,
07/17/2012,87.5,87.5,87.5,87.5,0.03K,-0.28%,,
07/18/2012,88.05,88.05,88.05,88.05,0.02K,0.63%,,
07/19/2012,87.95,87.95,87.95,87.95,0.01K,-0.11%,,
07/20/2012,88.1,88.1,88.1,88.1,0.02K,0.17%,,
07/23/2012,87.05,87.05,87.05,87.05,0.01K,-1.19%,,
07/24/2012,87.55,87.55,87.55,87.55,,0.57%,,
07/25/2012,87.75,87.75,87.75,87.75,,0.23%,,
07/26/2012,88.15,88.15,88.15,88.15,0.02K,0.46%,,
07/27/2012,88.4,88.4,88.4,88.4,0.01K,0.28%,,
07/30/2012,89.1,89.1,89.1,89.1,0.01K,0.79%,,
07/31/2012,90.15,90.15,90.15,90.15,0.10K,1.18%,,
08/01/2012,90.2,90.2,90.2,90.2,0.01K,0.06%,,
08/02/2012,89.45,89.45,89.45,89.45,0.01K,-0.83%,,
08/03/2012,89.75,89.75,89.75,89.75,,0.34%,,
08/06/2012,91.55,91.55,91.55,91.55,,2.01%,,
08/07/2012,92.1,92.1,92.1,92.1,0.03K,0.60%,,
08/08/2012,93.4,93.4,93.4,93.4,0.03K,1.41%,,
08/09/2012,92.55,92.55,92.55,92.55,0.01K,-0.91%,,
08/10/2012,92.15,92.15,92.15,92.15,,-0.43%,,
08/13/2012,92.55,92.55,92.55,92.55,0.01K,0.43%,,
08/14/2012,92.45,92.45,92.45,92.45,0.02K,-0.11%,,
08/15/2012,92.1,92.1,92.1,92.1,0.03K,-0.38%,,
08/16/2012,91.8,91.8,91.8,91.8,0.02K,-0.33%,,
08/17/2012,91.55,91.55,91.55,91.55,,-0.27%,,
08/20/2012,91.5,91.5,91.5,91.5,0.03K,-0.05%,,
08/21/2012,91.65,91.65,91.65,91.65,,0.16%,,
08/22/2012,91.4,91.4,91.4,91.4,0.03K,-0.27%,,
08/23/2012,91.45,91.45,91.45,91.45,0.02K,0.05%,,
08/24/2012,91.35,91.35,91.35,91.35,,-0.11%,,
08/28/2012,91.3,91.3,91.3,91.3,0.01K,-0.05%,,
08/29/2012,91.05,91.05,91.05,91.05,0.01K,-0.27%,,
08/30/2012,91.1,91.1,91.1,91.1,0.01K,0.05%,,
08/31/2012,91.75,91.75,91.75,91.75,0.01K,0.71%,,
09/03/2012,91.8,91.8,91.8,91.8,0.01K,0.05%,,
09/04/2012,91.2,91.2,91.2,91.2,0.11K,-0.65%,,
09/05/2012,91.35,91.35,91.35,91.35,0.02K,0.16%,,
09/06/2012,91.15,91.15,91.15,91.15,,-0.22%,,
09/07/2012,91.2,91.2,91.2,91.2,0.01K,0.05%,,
