NR,TICKER,DRIVER,IMPACT_DIRECTION,WEIGHT
1,ADRO,COAL,POSITIVE,1.00
2,PTBA,COAL,POSITIVE,1.00
3,ITMG,COAL,POSITIVE,1.00
4,MBAP,COAL,POSITIVE,0.90
5,HRUM,COAL,POSITIVE,0.80
6,BSSR,COAL,POSITIVE,0.90
7,BYAN,COAL,POSITIVE,1.00
8,UNTR,COAL,POSITIVE,0.70
9,DOID,COAL,POSITIVE,0.70
10,INDY,COAL,POSITIVE,0.80
11,ANTM,GOLD,POSITIVE,0.70
12,MDKA,GOLD,POSITIVE,0.80
13,PSAB,GOLD,POSITIVE,0.80
14,BRMS,GOLD,POSITIVE,0.80
15,UNTR,GOLD,POSITIVE,0.40
16,ANTM,NICKEL,POSITIVE,1.00
17,INCO,NICKEL,POSITIVE,1.00
18,MDKA,NICKEL,POSITIVE,0.80
19,NCKL,NICKEL,POSITIVE,1.00
20,NICL,NICKEL,POSITIVE,0.80
21,DKFT,NICKEL,POSITIVE,0.70
22,MEDC,OIL,POSITIVE,1.00
23,ELSA,OIL,POSITIVE,0.80
24,PGEO,OIL,POSITIVE,0.50
25,AKRA,OIL,POSITIVE,0.60
26,GIAA,OIL,NEGATIVE,1.00
27,MAPI,OIL,NEGATIVE,0.50
28,ACES,OIL,NEGATIVE,0.40
29,ERAA,OIL,NEGATIVE,0.50
30,INKP,USDIDR,POSITIVE,0.80
31,TKIM,USDIDR,POSITIVE,0.80
32,SMDR,USDIDR,POSITIVE,0.70
33,TMAS,USDIDR,POSITIVE,0.60
34,MBSS,USDIDR,POSITIVE,0.60
35,GOTO,USDIDR,NEGATIVE,0.60
36,BUKA,USDIDR,NEGATIVE,0.60
37,ERAA,USDIDR,NEGATIVE,0.80
38,ACES,USDIDR,NEGATIVE,0.70
39,MAPI,USDIDR,NEGATIVE,0.70
40,BBTN,BI_RATE,NEGATIVE,1.00
41,CTRA,BI_RATE,NEGATIVE,0.80
42,BSDE,BI_RATE,NEGATIVE,0.80
43,PWON,BI_RATE,NEGATIVE,0.70
44,SMRA,BI_RATE,NEGATIVE,0.80
45,BBCA,BI_RATE,POSITIVE,0.70
46,BMRI,BI_RATE,POSITIVE,0.80
47,BBRI,BI_RATE,POSITIVE,0.80
48,BBNI,BI_RATE,POSITIVE,0.80
49,AALI,CPO,POSITIVE,1.00
50,LSIP,CPO,POSITIVE,0.90
51,TAPG,CPO,POSITIVE,1.00
52,DSNG,CPO,POSITIVE,0.90
53,SIMP,CPO,POSITIVE,0.80
54,SSMS,CPO,POSITIVE,0.90
55,WIKA,CONSTRUCTION_SPENDING,POSITIVE,1.00
56,PTPP,CONSTRUCTION_SPENDING,POSITIVE,1.00
57,ADHI,CONSTRUCTION_SPENDING,POSITIVE,1.00
58,WSKT,CONSTRUCTION_SPENDING,POSITIVE,0.80
59,SMGR,CONSTRUCTION_SPENDING,POSITIVE,0.70
60,INTP,CONSTRUCTION_SPENDING,POSITIVE,0.70
61,HRTA,GOLD,POSITIVE,1.00
62,ARCI,GOLD,POSITIVE,1.00
