no,ticker,name,sector,board
1,KLBF.JK,Kalbe Farma Tbk.,Healthcare,Utama
2,MIKA.JK,Mitra Keluarga Karyasehat Tbk.,Healthcare,Utama
3,SAME.JK,Sarana Meditama Metropolitan T,Healthcare,Utama
4,SIDO.JK,Industri Jamu dan Farmasi Sido,Healthcare,Utama
5,SILO.JK,Siloam International Hospitals,Healthcare,Utama
6,TSPC.JK,Tempo Scan Pacific Tbk.,Healthcare,Utama
7,PRDA.JK,Prodia Widyahusada Tbk.,Healthcare,Utama
8,HEAL.JK,Medikaloka Hermina Tbk.,Healthcare,Utama
9,BMHS.JK,Bundamedik Tbk.,Healthcare,Utama
10,MTMH.JK,Murni Sadar Tbk.,Healthcare,UtamaFV
11,OMED.JK,Jayamas Medica Industri Tbk.,Healthcare,Utama
12,MDLA.JK,Medela Potentia Tbk.,Healthcare,Utama
13,ANTM.JK,Aneka Tambang Tbk.,Basic Material,Utama
14,BRMS.JK,Bumi Resources Minerals Tbk.,Basic Material,Utama
15,BRPT.JK,Barito Pacific Tbk.,Basic Material,Utama
16,CITA.JK,Cita Mineral Investindo Tbk.,Basic Material,Utama
17,ESSA.JK,ESSA Industries Indonesia Tbk.,Basic Material,Utama
18,INCO.JK,Vale Indonesia Tbk.,Basic Material,Utama
19,INKP.JK,Indah Kiat Pulp & Paper Tbk.,Basic Material,Utama
20,INTP.JK,Indocement Tunggal Prakarsa Tb,Basic Material,Utama
21,ISSP.JK,Steel Pipe Industry of Indones,Basic Material,Utama
22,LTLS.JK,Lautan Luas Tbk.,Basic Material,Utama
23,MDKA.JK,Merdeka Copper Gold Tbk.,Basic Material,Utama
24,SMBR.JK,Semen Baturaja (Persero) Tbk.,Basic Material,Utama
25,SMGR.JK,Semen Indonesia (Persero) Tbk.,Basic Material,Utama
26,TINS.JK,Timah Tbk.,Basic Material,Utama
27,TKIM.JK,Pabrik Kertas Tjiwi Kimia Tbk.,Basic Material,Utama
28,UNIC.JK,Unggul Indah Cahaya Tbk.,Basic Material,Utama
29,WTON.JK,Wijaya Karya Beton Tbk.,Basic Material,Utama
30,PBID.JK,Panca Budi Idaman Tbk.,Basic Material,Utama
31,SAMF.JK,Saraswanti Anugerah Makmur Tbk,Basic Material,Utama
32,AVIA.JK,Avia Avian Tbk.,Basic Material,Utama
33,AMMN.JK,Amman Mineral Internasional Tb,Basic Material,Utama
34,DAAZ.JK,Daaz Bara Lestari Tbk.,Basic Material,Utama
35,DGWG.JK,Delta Giri Wacana Tbk.,Basic Material,Utama
36,MINE.JK,Sinar Terang Mandiri Tbk.,Basic Material,Utama
37,NCKL.JK,Trimegah Bangun Persada Tbk.,Basic Material,Utama
38,MBMA.JK,Merdeka Battery Materials Tbk.,Basic Material,Utama
39,ARTO.JK,Bank Jago Tbk.,Financials,Utama
40,BACA.JK,Bank Capital Indonesia Tbk.,Financials,Utama
41,BBCA.JK,Bank Central Asia Tbk.,Financials,Utama
42,BBHI.JK,Allo Bank Indonesia Tbk.,Financials,Utama
43,BBNI.JK,Bank Negara Indonesia (Persero,Financials,Utama
44,BBRI.JK,Bank Rakyat Indonesia (Persero,Financials,Utama
45,BBTN.JK,Bank Tabungan Negara (Persero),Financials,Utama
46,BBYB.JK,Bank Neo Commerce Tbk.,Financials,Utama
47,BCAP.JK,MNC Kapital Indonesia Tbk.,Financials,Utama
48,BDMN.JK,Bank Danamon Indonesia Tbk.,Financials,Utama
49,BFIN.JK,BFI Finance Indonesia Tbk.,Financials,Utama
50,BGTG.JK,Bank Ganesha Tbk.,Financials,Utama
51,BINA.JK,Bank Ina Perdana Tbk.,Financials,Utama
52,BJBR.JK,Bank Pembangunan Daerah Jawa B,Financials,Utama
53,BJTM.JK,Bank Pembangunan Daerah Jawa T,Financials,Utama
54,BMRI.JK,Bank Mandiri (Persero) Tbk.,Financials,Utama
55,BNGA.JK,Bank CIMB Niaga Tbk.,Financials,Utama
56,BNII.JK,Bank Maybank Indonesia Tbk.,Financials,Utama
57,BNLI.JK,Bank Permata Tbk.,Financials,Utama
58,BSIM.JK,Bank Sinarmas Tbk.,Financials,Utama
59,BTPN.JK,Bank SMBC Indonesia Tbk.,Financials,Utama
60,BVIC.JK,Bank Victoria International Tb,Financials,Utama
61,CFIN.JK,Clipan Finance Indonesia Tbk.,Financials,Utama
62,DNET.JK,Indoritel Makmur Internasional,Financials,Utama
63,INPC.JK,Bank Artha Graha Internasional,Financials,Utama
64,MAYA.JK,Bank Mayapada Internasional Tb,Financials,Utama
65,MCOR.JK,Bank China Construction Bank I,Financials,Utama
66,MEGA.JK,Bank Mega Tbk.,Financials,Utama
67,MREI.JK,Maskapai Reasuransi Indonesia,Financials,Utama
68,NISP.JK,Bank OCBC NISP Tbk.,Financials,Utama
69,PANS.JK,Panin Sekuritas Tbk.,Financials,Utama
70,PNBN.JK,Bank Pan Indonesia Tbk,Financials,Utama
71,PNIN.JK,Paninvest Tbk.,Financials,Utama
72,PNLF.JK,Panin Financial Tbk.,Financials,Utama
73,SMMA.JK,Sinarmas Multiartha Tbk.,Financials,Utama
74,SRTG.JK,Saratoga Investama Sedaya Tbk.,Financials,Utama
75,TRIM.JK,Trimegah Sekuritas Indonesia T,Financials,Utama
76,VICO.JK,Victoria Investama Tbk.,Financials,Utama
77,BRIS.JK,Bank Syariah Indonesia (Perser,Financials,Utama
78,BTPS.JK,Bank BTPN Syariah Tbk.,Financials,Utama
79,TUGU.JK,Asuransi Tugu Pratama Indonesi,Financials,Utama
80,BBSI.JK,Krom Bank Indonesia Tbk.,Financials,Utama
81,AGRO.JK,Bank Raya Indonesia Tbk.,Financials,Utama
82,ASSA.JK,Adi Sarana Armada Tbk.,Transportation & Logistic,Utama
83,BIRD.JK,Blue Bird Tbk.,Transportation & Logistic,Utama
84,SMDR.JK,Samudera Indonesia Tbk.,Transportation & Logistic,Utama
85,TMAS.JK,Temas Tbk.,Transportation & Logistic,Utama
86,HATM.JK,Habco Trans Maritima Tbk.,Transportation & Logistic,Utama
87,ELPI.JK,Pelayaran Nasional Ekalya Purn,Transportation & Logistic,Utama
88,BLOG.JK,Trimitra Trans Persada Tbk.,Transportation & Logistic,Utama
89,EMTK.JK,Elang Mahkota Teknologi Tbk.,Technology,Utama
90,MTDL.JK,Metrodata Electronics Tbk.,Technology,Utama
91,MCAS.JK,M Cash Integrasi Tbk.,Technology,Utama
92,MSTI.JK,Mastersystem Infotama Tbk.,Technology,Utama
93,AALI.JK,Astra Agro Lestari Tbk.,Consumer non-cyclicals,Utama
94,AISA.JK,FKS Food Sejahtera Tbk.,Consumer non-cyclicals,Utama
95,AMRT.JK,Sumber Alfaria Trijaya Tbk.,Consumer non-cyclicals,Utama
96,BISI.JK,BISI International Tbk.,Consumer non-cyclicals,Utama
97,BUDI.JK,Budi Starch & Sweetener Tbk.,Consumer non-cyclicals,Utama
98,BWPT.JK,Eagle High Plantations Tbk.,Consumer non-cyclicals,Utama
99,CPIN.JK,Charoen Pokphand Indonesia Tbk,Consumer non-cyclicals,Utama
100,DLTA.JK,Delta Djakarta Tbk.,Consumer non-cyclicals,Utama
101,DSNG.JK,Dharma Satya Nusantara Tbk.,Consumer non-cyclicals,Utama
102,GGRM.JK,Gudang Garam Tbk.,Consumer non-cyclicals,Utama
103,HMSP.JK,H.M. Sampoerna Tbk.,Consumer non-cyclicals,Utama
104,ICBP.JK,Indofood CBP Sukses Makmur Tbk,Consumer non-cyclicals,Utama
105,INDF.JK,Indofood Sukses Makmur Tbk.,Consumer non-cyclicals,Utama
106,JPFA.JK,Japfa Comfeed Indonesia Tbk.,Consumer non-cyclicals,Utama
107,LSIP.JK,PP London Sumatra Indonesia Tb,Consumer non-cyclicals,Utama
108,MAIN.JK,Malindo Feedmill Tbk.,Consumer non-cyclicals,Utama
109,MIDI.JK,Midi Utama Indonesia Tbk.,Consumer non-cyclicals,Utama
110,MLBI.JK,Multi Bintang Indonesia Tbk.,Consumer non-cyclicals,Utama
111,MLPL.JK,Multipolar Tbk.,Consumer non-cyclicals,Utama
112,MYOR.JK,Mayora Indah Tbk.,Consumer non-cyclicals,Utama
113,SGRO.JK,Prime Agri Resources Tbk.,Consumer non-cyclicals,Utama
114,SIMP.JK,Salim Ivomas Pratama Tbk.,Consumer non-cyclicals,Utama
115,SMAR.JK,Sinar Mas Agro Resources and T,Consumer non-cyclicals,Utama
116,SSMS.JK,Sawit Sumbermas Sarana Tbk.,Consumer non-cyclicals,Utama
117,TBLA.JK,Tunas Baru Lampung Tbk.,Consumer non-cyclicals,Utama
118,ULTJ.JK,Ultrajaya Milk Industry & Trad,Consumer non-cyclicals,Utama
119,UNVR.JK,Unilever Indonesia Tbk.,Consumer non-cyclicals,Utama
120,WIIM.JK,Wismilak Inti Makmur Tbk.,Consumer non-cyclicals,Utama
121,CLEO.JK,Sariguna Primatirta Tbk.,Consumer non-cyclicals,Utama
122,GOOD.JK,Garudafood Putra Putri Jaya Tb,Consumer non-cyclicals,Utama
123,KEJU.JK,Mulia Boga Raya Tbk.,Consumer non-cyclicals,Utama
124,PSGO.JK,Palma Serasih Tbk.,Consumer non-cyclicals,Utama
125,UCID.JK,Uni-Charm Indonesia Tbk.,Consumer non-cyclicals,Utama
126,CSRA.JK,Cisadane Sawit Raya Tbk.,Consumer non-cyclicals,Utama
127,PNGO.JK,Pinago Utama Tbk.,Consumer non-cyclicals,Utama
128,VICI.JK,Victoria Care Indonesia Tbk.,Consumer non-cyclicals,Utama
129,WMUU.JK,Widodo Makmur Unggas Tbk.,Consumer non-cyclicals,Utama
130,TAPG.JK,Triputra Agro Persada Tbk.,Consumer non-cyclicals,Utama
131,CMRY.JK,Cisarua Mountain Dairy Tbk.,Consumer non-cyclicals,Utama
132,STAA.JK,Sumber Tani Agung Resources Tb,Consumer non-cyclicals,Utama
133,TRGU.JK,Cerestar Indonesia Tbk.,Consumer non-cyclicals,Utama
134,JARR.JK,Jhonlin Agro Raya Tbk.,Consumer non-cyclicals,Utama
135,MKTR.JK,Menthobi Karyatama Raya Tbk.,Consumer non-cyclicals,Utama
136,YUPI.JK,Yupi Indo Jelly Gum Tbk.,Consumer non-cyclicals,Utama
137,ARNA.JK,Arwana Citramulia Tbk.,Industrials,Utama
138,ASGR.JK,Astra Graphia Tbk.,Industrials,Utama
139,ASII.JK,Astra International Tbk.,Industrials,Utama
140,HEXA.JK,Hexindo Adiperkasa Tbk.,Industrials,Utama
141,IMPC.JK,Impack Pratama Industri Tbk.,Industrials,Utama
142,JTPE.JK,Jasuindo Tiga Perkasa Tbk.,Industrials,Utama
143,KBLI.JK,KMI Wire & Cable Tbk.,Industrials,Utama
144,UNTR.JK,United Tractors Tbk.,Industrials,Utama
145,MARK.JK,Mark Dynamics Indonesia Tbk.,Industrials,Utama
146,SPTO.JK,Surya Pertiwi Tbk.,Industrials,Utama
147,SKRN.JK,Superkrane Mitra Utama Tbk.,Industrials,Utama
148,SMIL.JK,Sarana Mitra Luas Tbk.,Industrials,Utama
149,ABMM.JK,ABM Investama Tbk.,Energy,Utama
150,AKRA.JK,AKR Corporindo Tbk.,Energy,Utama
