driver,ticker,event_date,driver_change_pct,buy_date,sell_date,buy_price,sell_price,capital,shares,return_pct,profit_rp,ending_value
GOLD,ANTM.JK,2012-09-13,6.59,2012-09-13,2012-09-27,1350.0,1350.0,1000000,740.74,0.0,0.0,1000000.0
GOLD,ANTM.JK,2013-04-29,7.85,2013-04-29,2013-05-14,1370.0,1350.0,1000000,729.93,-1.46,-14599.0,985401.0
GOLD,ANTM.JK,2013-07-12,5.48,2013-07-12,2013-07-26,1160.0,1240.0,1000000,862.07,6.9,68966.0,1068966.0
GOLD,ANTM.JK,2013-08-20,7.01,2013-08-20,2013-09-03,1210.0,1370.0,1000000,826.45,13.22,132231.0,1132231.0
GOLD,ANTM.JK,2013-10-25,6.66,2013-10-25,2013-11-11,1600.0,1430.0,1000000,625.0,-10.62,-106250.0,893750.0
GOLD,ANTM.JK,2014-02-14,6.36,2014-02-14,2014-02-28,853.0,874.0,1000000,1172.33,2.46,24619.0,1024619.0
GOLD,ANTM.JK,2014-06-20,5.12,2014-06-20,2014-07-04,945.0,966.0,1000000,1058.2,2.22,22222.0,1022222.0
GOLD,ANTM.JK,2015-01-15,6.82,2015-01-15,2015-01-29,899.0,899.0,1000000,1112.35,-0.0,-0.0,1000000.0
GOLD,ANTM.JK,2015-08-20,5.76,2015-08-20,2015-09-03,445.0,413.0,1000000,2247.19,-7.19,-71910.0,928090.0
GOLD,ANTM.JK,2015-10-14,5.79,2015-10-15,2015-10-29,424.0,377.0,1000000,2358.49,-11.08,-110849.0,889151.0
GOLD,ANTM.JK,2016-02-04,5.32,2016-02-04,2016-02-19,349.0,369.0,1000000,2865.33,5.73,57307.0,1057307.0
GOLD,ANTM.JK,2016-05-06,5.23,2016-05-09,2016-05-23,740.0,650.0,1000000,1351.35,-12.16,-121622.0,878378.0
GOLD,ANTM.JK,2016-06-13,5.82,2016-06-13,2016-06-27,705.0,735.0,1000000,1418.44,4.26,42553.0,1042553.0
GOLD,ANTM.JK,2017-01-11,5.13,2017-01-11,2017-01-25,875.0,805.0,1000000,1142.86,-8.0,-80000.0,920000.0
GOLD,ANTM.JK,2019-06-06,5.03,2019-06-10,2019-06-24,780.0,795.0,1000000,1282.05,1.92,19231.0,1019231.0
GOLD,ANTM.JK,2019-08-07,5.94,2019-08-07,2019-08-21,1005.0,1070.0,1000000,995.02,6.47,64677.0,1064677.0
GOLD,ANTM.JK,2020-01-03,5.2,2020-01-03,2020-01-17,850.0,840.0,1000000,1176.47,-1.18,-11765.0,988235.0
GOLD,ANTM.JK,2020-02-21,5.08,2020-02-21,2020-03-06,700.0,610.0,1000000,1428.57,-12.86,-128571.0,871429.0
GOLD,ANTM.JK,2020-03-27,7.14,2020-03-27,2020-04-13,460.0,535.0,1000000,2173.91,16.3,163043.0,1163043.0
GOLD,ANTM.JK,2020-07-24,5.51,2020-07-24,2020-08-10,685.0,825.0,1000000,1459.85,20.44,204380.0,1204380.0
GOLD,ANTM.JK,2021-05-18,5.18,2021-05-18,2021-06-03,2600.0,2520.0,1000000,384.62,-3.08,-30769.0,969231.0
GOLD,ANTM.JK,2021-11-17,6.02,2021-11-17,2021-12-01,2350.0,2270.0,1000000,425.53,-3.4,-34043.0,965957.0
GOLD,ANTM.JK,2022-02-17,5.42,2022-02-17,2022-03-07,1945.0,2820.0,1000000,514.14,44.99,449871.0,1449871.0
GOLD,ANTM.JK,2022-11-10,5.4,2022-11-10,2022-11-24,2000.0,1970.0,1000000,500.0,-1.5,-15000.0,985000.0
GOLD,ANTM.JK,2023-01-13,5.44,2023-01-13,2023-01-30,2150.0,2290.0,1000000,465.12,6.51,65116.0,1065116.0
