driver,ticker,year,event_count,annual_return_pct,capital_end_year,win_count,lose_count,win_rate_pct,avg_return_pct,best_return_pct,worst_return_pct
GOLD,ANTM.JK,2012,1,-57.48,425200.0,0,1,0.0,-57.48,-57.48,-57.48
GOLD,ANTM.JK,2013,4,6.59,453209.0,2,2,50.0,2.01,13.22,-10.63
GOLD,ANTM.JK,2014,2,4.73,474667.0,2,0,100.0,2.34,2.46,2.22
GOLD,ANTM.JK,2015,3,-17.49,391635.0,0,3,0.0,-6.1,0.0,-11.12
GOLD,ANTM.JK,2016,3,-3.17,379218.0,2,1,66.67,-0.72,5.73,-12.16
GOLD,ANTM.JK,2017,1,-8.0,348881.0,0,1,0.0,-8.0,-8.0,-8.0
GOLD,ANTM.JK,2019,2,18.21,412425.0,2,0,100.0,8.75,11.03,6.47
GOLD,ANTM.JK,2020,4,20.62,497459.0,2,2,50.0,5.68,20.44,-12.86
GOLD,ANTM.JK,2021,2,-6.38,465745.0,0,2,0.0,-3.24,-3.08,-3.4
GOLD,ANTM.JK,2022,2,42.82,665154.0,1,1,50.0,21.74,44.99,-1.5
GOLD,ANTM.JK,2023,4,6.31,707101.0,2,2,50.0,1.84,12.43,-5.8
GOLD,ANTM.JK,2024,4,10.64,782312.0,2,2,50.0,3.0,13.7,-7.12
GOLD,ANTM.JK,2025,7,58.31,1238506.0,5,2,71.43,7.29,18.96,-11.95
GOLD,ANTM.JK,2026,1,16.14,1438401.0,1,0,100.0,16.14,16.14,16.14
GOLD,BRMS.JK,2011,3,17.76,1177627.0,2,1,66.67,5.81,13.21,-2.82
GOLD,BRMS.JK,2012,2,10.31,1299034.0,1,1,50.0,5.26,12.24,-1.72
GOLD,BRMS.JK,2013,4,-12.02,1142895.0,1,3,25.0,-2.09,18.58,-22.03
GOLD,BRMS.JK,2014,2,16.06,1326425.0,2,0,100.0,7.88,13.56,2.2
GOLD,BRMS.JK,2015,3,2.27,1356535.0,1,2,33.33,0.76,2.27,0.0
GOLD,BRMS.JK,2016,3,0.0,1356535.0,0,3,0.0,0.0,0.0,0.0
GOLD,BRMS.JK,2017,1,23.17,1670844.0,1,0,100.0,23.17,23.17,23.17
GOLD,BRMS.JK,2019,2,0.0,1670844.0,0,2,0.0,0.0,0.0,0.0
GOLD,BRMS.JK,2020,4,-1.89,1639265.0,0,4,0.0,-0.47,0.0,-1.89
GOLD,BRMS.JK,2021,2,-0.93,1623972.0,1,1,50.0,-0.08,8.65,-8.82
GOLD,BRMS.JK,2022,2,6.4,1727889.0,1,1,50.0,3.26,8.14,-1.61
GOLD,BRMS.JK,2023,4,24.76,2155713.0,3,1,75.0,5.86,15.29,0.0
GOLD,BRMS.JK,2024,4,67.32,3607028.0,3,1,75.0,15.58,53.14,-1.94
GOLD,BRMS.JK,2025,7,15.9,4180580.0,6,1,85.71,2.95,15.47,-24.06
GOLD,BRMS.JK,2026,1,18.42,4950643.0,1,0,100.0,18.42,18.42,18.42
GOLD,HRTA.JK,2019,2,-11.34,886624.0,1,1,50.0,-5.62,0.81,-12.05
GOLD,HRTA.JK,2020,4,24.58,1104546.0,4,0,100.0,5.68,9.65,2.36
GOLD,HRTA.JK,2021,2,8.63,1199851.0,1,1,50.0,5.1,18.59,-8.4
GOLD,HRTA.JK,2022,2,1.85,1222048.0,1,1,50.0,0.92,1.85,0.0
GOLD,HRTA.JK,2023,4,18.32,1445897.0,3,1,75.0,4.45,14.19,-0.46
GOLD,HRTA.JK,2024,4,27.03,1836794.0,3,1,75.0,6.51,18.97,-4.93
GOLD,HRTA.JK,2025,7,99.86,3670968.0,6,1,85.71,10.97,26.93,-9.81
GOLD,HRTA.JK,2026,1,22.73,4505379.0,1,0,100.0,22.73,22.73,22.73
GOLD,MDKA.JK,2015,2,-2.57,974320.0,1,1,50.0,-1.22,2.56,-5.0
GOLD,MDKA.JK,2016,3,10.77,1079281.0,2,1,66.67,3.5,5.79,0.0
GOLD,MDKA.JK,2017,1,-3.02,1046686.0,0,1,0.0,-3.02,-3.02,-3.02
GOLD,MDKA.JK,2019,2,17.41,1228962.0,2,0,100.0,8.41,11.93,4.9
GOLD,MDKA.JK,2020,4,34.12,1648284.0,3,1,75.0,7.96,17.21,-3.36
GOLD,MDKA.JK,2021,2,10.26,1817333.0,2,0,100.0,5.02,6.61,3.42
GOLD,MDKA.JK,2022,2,22.04,2217919.0,2,0,100.0,10.5,12.95,8.05
GOLD,MDKA.JK,2023,4,-16.44,1853220.0,2,2,50.0,-4.1,3.78,-13.57
GOLD,MDKA.JK,2024,4,20.02,2224184.0,3,1,75.0,4.95,18.58,-0.88
GOLD,MDKA.JK,2025,7,48.0,3291710.0,4,3,57.14,6.33,19.47,-8.96
GOLD,MDKA.JK,2026,1,6.65,3510609.0,1,0,100.0,6.65,6.65,6.65
GOLD,PSAB.JK,2003,3,-6.06,939400.0,0,3,0.0,-2.02,0.0,-6.06
GOLD,PSAB.JK,2004,2,0.0,939400.0,0,2,0.0,0.0,0.0,0.0
GOLD,PSAB.JK,2005,3,0.0,939400.0,0,3,0.0,0.0,0.0,0.0
GOLD,PSAB.JK,2006,6,0.0,939400.0,0,6,0.0,0.0,0.0,0.0
GOLD,PSAB.JK,2007,4,0.0,939400.0,0,4,0.0,0.0,0.0,0.0
GOLD,PSAB.JK,2008,6,-19.57,755559.0,0,6,0.0,-3.26,-0.0,-19.57
GOLD,PSAB.JK,2009,5,0.0,755559.0,0,5,0.0,0.0,-0.0,-0.0
GOLD,PSAB.JK,2010,6,162.07,1980095.0,1,5,16.67,27.01,162.07,-0.0
GOLD,PSAB.JK,2011,3,0.0,1980095.0,0,3,0.0,0.0,-0.0,-0.0
GOLD,PSAB.JK,2012,2,0.61,1992173.0,1,1,50.0,0.3,0.61,-0.0
GOLD,PSAB.JK,2013,4,-18.65,1620639.0,1,3,25.0,-4.9,1.05,-12.4
GOLD,PSAB.JK,2014,2,-4.84,1542200.0,1,1,50.0,-1.66,10.78,-14.1
GOLD,PSAB.JK,2015,3,15.08,1774812.0,3,0,100.0,4.81,7.34,3.09
GOLD,PSAB.JK,2016,3,33.15,2363112.0,2,1,66.67,10.56,23.75,-3.06
GOLD,PSAB.JK,2017,1,3.28,2440622.0,1,0,100.0,3.28,3.28,3.28
GOLD,PSAB.JK,2019,2,43.15,3493828.0,2,0,100.0,20.18,31.49,8.87
GOLD,PSAB.JK,2020,4,-1.07,3456604.0,1,3,25.0,0.51,19.47,-16.03
GOLD,PSAB.JK,2021,2,-4.22,3310694.0,0,2,0.0,-2.13,-1.32,-2.94
GOLD,PSAB.JK,2022,2,11.41,3688314.0,2,0,100.0,5.62,9.49,1.75
GOLD,PSAB.JK,2023,4,2.9,3795355.0,2,2,50.0,0.73,3.53,-1.61
GOLD,PSAB.JK,2024,4,25.34,4756994.0,3,1,75.0,5.96,11.73,-3.36
GOLD,PSAB.JK,2025,7,16.51,5542470.0,3,4,42.86,3.0,28.21,-10.0
GOLD,PSAB.JK,2026,1,13.86,6310656.0,1,0,100.0,13.86,13.86,13.86
